repeat,fold,r2,p_perm
37,0,0.029554212250683554,0.027888446215139442
37,1,-0.13595647709621272,0.12350597609561753
37,2,0.05788235135178521,0.0398406374501992
37,3,-0.04949474109290142,0.3665338645418327
37,4,0.08191568497627111,0.00398406374501992
38,0,0.048257695321930916,0.0199203187250996
38,1,-0.03329479919133882,0.16334661354581673
38,2,-0.06029673514065048,0.5179282868525896
38,3,0.043433609418105035,0.07171314741035857
38,4,0.0208799876738629,0.055776892430278883
39,0,-0.052336182699999956,0.250996015936255
39,1,0.04804426674240092,0.02390438247011952
39,2,0.005187303810801902,0.1553784860557769
39,3,0.08114640160929243,0.01195219123505976
39,4,0.044899424664489596,0.00796812749003984
40,0,-0.014293809546893854,0.07569721115537849
40,1,0.007507164734342098,0.12350597609561753
40,2,0.06205846824225836,0.027888446215139442
40,3,0.04310235602824286,0.01593625498007968
40,4,0.050367774250770436,0.035856573705179286
41,0,-0.01814674841574737,0.21115537848605578
41,1,-0.054822059390748024,0.3386454183266932
41,2,0.07596918663915397,0.027888446215139442
41,3,0.05370363721095228,0.027888446215139442
41,4,0.03912373601647412,0.01195219123505976
42,0,-0.04180021056639682,0.0199203187250996
42,1,0.03574323045195771,0.07569721115537849
42,2,-0.1050912372778312,0.3147410358565737
42,3,0.06548689644498984,0.0199203187250996
42,4,0.05596205572625412,0.043824701195219126
43,0,0.006900586831074085,0.09163346613545817
43,1,0.07977891961018924,0.01195219123505976
43,2,0.018569898083224734,0.01195219123505976
43,3,-0.14448280859622686,0.41434262948207173
43,4,-0.1481825945398072,0.6932270916334662
44,0,0.03322359729959212,0.04780876494023904
44,1,0.055920124962126505,0.027888446215139442
44,2,0.06561467201735693,0.01195219123505976
44,3,-0.05154841812974165,0.33067729083665337
44,4,0.006565418408440604,0.16334661354581673
45,0,-0.10372468530206613,0.20318725099601595
45,1,0.014951590735086229,0.09163346613545817
45,2,0.10896637503575868,0.00398406374501992
45,3,0.02009680357389443,0.08764940239043825
45,4,-0.03737074158737186,0.23107569721115537
46,0,0.0158030012685777,0.10358565737051793
46,1,-0.024815632142257238,0.22310756972111553
46,2,0.037079631190327644,0.00796812749003984
46,3,0.004399074756697319,0.08366533864541832
46,4,0.05988900608199643,0.0199203187250996
47,0,0.024830683907604567,0.027888446215139442
47,1,0.018841815770448966,0.11553784860557768
47,2,0.054944230634624946,0.01195219123505976
47,3,0.026403967305015152,0.03187250996015936
47,4,-0.1645350521463027,0.5099601593625498
48,0,-0.12801233680849378,0.3147410358565737
48,1,0.11516818950748431,0.00398406374501992
48,2,-0.11488654083186378,0.13147410358565736
48,3,0.07450027329854914,0.02390438247011952
48,4,-0.05829055404946404,0.26693227091633465
49,0,-0.08526665334344408,0.30278884462151395
49,1,-0.04897189327054319,0.18326693227091634
49,2,0.03558594901713119,0.06374501992031872
49,3,0.05280171546880308,0.043824701195219126
49,4,0.025456433897020903,0.03187250996015936
50,0,-0.012526708273298048,0.23107569721115537
50,1,0.009135272141128525,0.099601593625498
50,2,-0.0652503717468651,0.3745019920318725
50,3,0.07920153875005242,0.01593625498007968
50,4,0.0679691089055503,0.027888446215139442
51,0,-0.011812827613754795,0.1752988047808765
51,1,-0.019206796436497253,0.12749003984063745
51,2,0.037606947334009044,0.05179282868525897
51,3,-0.030012138796186916,0.20318725099601595
51,4,0.019888285907858294,0.08366533864541832
52,0,-0.009483905012139138,0.12350597609561753
52,1,0.035239637281200276,0.08366533864541832
52,2,-0.0012546915825772942,0.12350597609561753
52,3,0.046824993074377375,0.03187250996015936
52,4,-0.00251935582838847,0.099601593625498
53,0,0.01749203156750334,0.10358565737051793
53,1,0.007743387613508013,0.0398406374501992
53,2,0.04068215329913871,0.0199203187250996
53,3,0.04210399932339115,0.06772908366533864
53,4,-0.1305839018663364,0.4541832669322709
54,0,0.085963141695095,0.01195219123505976
54,1,0.026268296278087577,0.0796812749003984
54,2,-0.04203352354497891,0.40239043824701193
54,3,-0.03552891806325875,0.41434262948207173
54,4,0.03750361761684773,0.03187250996015936
55,0,-0.053857232380843056,0.09561752988047809
55,1,-0.038635556448014974,0.33067729083665337
55,2,0.07837642175212467,0.00796812749003984
55,3,-0.07588040796874007,0.4302788844621514
55,4,0.01822462371932798,0.0398406374501992
56,0,0.013012341221954382,0.0398406374501992
56,1,-0.012727169822834838,0.21912350597609562
56,2,0.03553954281170424,0.05179282868525897
56,3,0.036189855737363996,0.035856573705179286
56,4,-0.025878558992905365,0.1593625498007968
57,0,-0.1291073703862866,0.5737051792828686
57,1,0.04878643075192535,0.035856573705179286
57,2,0.010608192528289817,0.1752988047808765
57,3,-0.250354621118672,0.545816733067729
57,4,0.10094854082333693,0.00398406374501992
58,0,0.04313944512190426,0.035856573705179286
58,1,0.017111280387548278,0.1553784860557769
58,2,-0.09260205378149755,0.3665338645418327
58,3,0.02628830563271023,0.055776892430278883
58,4,-0.0446687222434754,0.2549800796812749
59,0,-0.005604198353679202,0.08366533864541832
59,1,-0.06126145695119467,0.3386454183266932
59,2,-0.05746759422282821,0.13545816733067728
59,3,0.005249406222503361,0.1593625498007968
59,4,0.05729844723165667,0.0398406374501992
60,0,0.042627225025585025,0.055776892430278883
60,1,0.0553684446888949,0.035856573705179286
60,2,-0.03263156002975087,0.30677290836653387
60,3,0.054432531530629547,0.02390438247011952
60,4,-0.03183697093019422,0.32270916334661354
61,0,0.06232257860494006,0.01593625498007968
61,1,-0.03402658212632037,0.09163346613545817
61,2,-0.03314475943625905,0.18326693227091634
61,3,-0.0705296305654759,0.13147410358565736
61,4,-0.007526159200609062,0.08764940239043825
62,0,0.03647438953191773,0.06772908366533864
62,1,0.08637381834333457,0.0199203187250996
62,2,0.08860250979966189,0.00398406374501992
